capture_id,vlm_being_away,vlm_coherence,vlm_scope,vlm_fascination,vlm_restorative_average,vlm_model,prompt_hash,cache_hit,vlm_status,vlm_error
201311_113.8327226_22.588928800000005.png,0.52,0.74,0.67,0.41,0.585,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_113.83766518162263_22.641416403895732.png,0.28,0.78,0.62,0.18,0.465,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_113.87865392033376_22.61317748414232.png,0.52,0.78,0.66,0.58,0.635,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_113.882861_22.6128348.png,0.53,0.78,0.62,0.49,0.605,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_113.9022082_22.590201799999996.png,0.22,0.78,0.48,0.34,0.455,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_113.97215286575438_22.599851368800312.png,0.62,0.78,0.57,0.44,0.6025,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_113.9824091_22.594394199999996.png,0.42,0.68,0.57,0.46,0.5325,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.0367137_22.625328199999995.png,0.22,0.61,0.55,0.34,0.43,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.07813510000001_22.5592236.png,0.22,0.63,0.55,0.34,0.435,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.1331646_22.6036264.png,0.22,0.57,0.48,0.31,0.3949999999999999,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.158799_22.6090681.png,0.12,0.52,0.61,0.34,0.3975,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.16919617982792_22.62714279983004.png,0.28,0.66,0.58,0.34,0.465,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.1708255_22.6072058.png,0.42,0.61,0.67,0.44,0.535,gpt-5.4-mini,35128c8cfbadece8,,ok,
201311_114.1832046_22.5984266.png,0.42,0.58,0.56,0.47,0.5075,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.8235017_22.698809100000002.png,0.08,0.44,0.41,0.22,0.2875,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.83443584337306_22.74126975401547.png,0.08,0.68,0.42,0.18,0.34,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.8374755_22.647390599999994.png,0.52,0.61,0.74,0.48,0.5875,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.85777283738314_22.642709229323334.png,0.42,0.68,0.56,0.34,0.5,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.876258209507_22.67064777876147.png,0.62,0.74,0.71,0.48,0.6375,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.8844253_22.668941099999998.png,0.08,0.42,0.36,0.18,0.26,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.89281280000002_22.556411099999995.png,0.58,0.64,0.71,0.62,0.6375,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.9201526_22.757344299999996.png,0.18,0.72,0.56,0.29,0.4375,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.9429058_22.681555399999997.png,0.12,0.48,0.33,0.31,0.31,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.9569087_22.710923500000003.png,0.32,0.66,0.58,0.34,0.475,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.96037321245348_22.71031364112373.png,0.18,0.62,0.28,0.12,0.3,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_113.9663157_22.5911024.png,0.34,0.68,0.55,0.41,0.495,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.02460795663488_22.690583366445924.png,0.18,0.62,0.45,0.22,0.3675,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.1465315_22.64902.png,0.08,0.62,0.54,0.21,0.3625,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.15496564402403_22.68774104495292.png,0.22,0.56,0.63,0.28,0.4225,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.1675356_22.644914899999993.png,0.46,0.71,0.59,0.38,0.535,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.18655560000002_22.637104.png,0.03,0.58,0.42,0.18,0.3025,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.19316369793675_22.635618175979587.png,0.23,0.67,0.48,0.31,0.4225,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.1943834_22.631455699999997.png,0.18,0.56,0.41,0.24,0.3475,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.2010636_22.665965500000006.png,0.18,0.62,0.74,0.31,0.4625,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.2148053_22.727966299999995.png,0.34,0.66,0.52,0.41,0.4825,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.2280303_22.6858936.png,0.32,0.71,0.58,0.29,0.475,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.2380314_22.670535799999996.png,0.27,0.62,0.48,0.31,0.42,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.26495182895304_22.709595012731427.png,0.16,0.62,0.48,0.29,0.3875,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.2829641_22.722505.png,0.14,0.62,0.48,0.18,0.355,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.297774_22.668009000000005.png,0.24,0.56,0.48,0.32,0.4,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.3024738_22.713602799999997.png,0.08,0.52,0.38,0.18,0.29,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.3081115_22.7803939.png,0.08,0.62,0.56,0.12,0.345,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.30882777640898_22.732776127722143.png,0.36,0.62,0.48,0.41,0.4674999999999999,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.3115919864939_22.782113155236605.png,0.18,0.72,0.56,0.33,0.4475,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.31522844727854_22.755518967676593.png,0.22,0.68,0.59,0.18,0.4175,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.32047496065323_22.79014665066662.png,0.18,0.61,0.43,0.24,0.365,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.3210375_22.764714699999995.png,0.23,0.74,0.57,0.21,0.4375,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.3589352_22.74361039999999.png,0.28,0.62,0.76,0.21,0.4675,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.36616_22.6108985.png,0.58,0.73,0.46,0.51,0.57,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.3839314_22.616090400000004.png,0.58,0.66,0.52,0.54,0.575,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.4100365_22.6964255.png,0.29,0.52,0.67,0.43,0.4775,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.4226865_22.63003519999999.png,0.31,0.72,0.58,0.41,0.505,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.44753853438388_22.59878176472855.png,0.61,0.72,0.77,0.48,0.645,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.4766241_22.591292899999996.png,0.18,0.55,0.62,0.28,0.4075,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.47875850000001_22.553592399999996.png,0.45,0.7,0.62,0.38,0.5375,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.4840805_22.53794989999999.png,0.08,0.72,0.58,0.12,0.375,gpt-5.4-mini,35128c8cfbadece8,,ok,
201312_114.4932418459449_22.59812495946907.png,0.52,0.74,0.66,0.58,0.625,gpt-5.4-mini,35128c8cfbadece8,,ok,
